hotel_name,location,rating,review_score,num_reviews,room_score,room_type,bed_type,price_bdt,price_eur,source
Krabi La Playa Resort - SHA Plus,Ao Nang Beach,8.2,Very Good,141,8.6,Deluxe Double or Twin Room,1 double or 2 twins,146026.0,1216.88,Booking.com
KC Beach Club & Pool Villas,"Chaweng City Center , Chaweng",7.1,Good,193,,Double Room with Balcony and Sea View,1 queen bed,215304.0,1794.2,Booking.com
Rawai VIP Villas & Kids Park,Rawai Beach,8.3,Very Good,63,8.9,2 Bedroom Pool Villa,2 queen beds,435384.0,3628.2,Booking.com
"FuramaXclusive Sathorn, Bangkok","Bang Rak, Bangkok",7.7,Good,1304,8.1,Executive Double Room,1 full bed,146240.0,1218.67,Booking.com
Bo Phut Resort and Spa - SHA Plus,Bophut,9.3,Wonderful,294,9.6,Villa with Garden View,1 double or 2 twins,621072.0,5175.6,Booking.com
Abloom Exclusive Serviced Apartments,"Phaya Thai, Bangkok",8.1,Very Good,295,8.4,One Bedroom Deluxe(Flash Sales),1 full bed,178109.0,1484.24,Booking.com
"Bandara Suites Silom, Bangkok - SHA Extra Plus","Bang Rak, Bangkok",8.3,Very Good,1045,8.7,Studio,1 double or 2 twins,176217.0,1468.48,Booking.com
Bhukitta Boutique Hotel,Phuket,7.6,Good,236,8.0,Superior Double or Twin Room,1 queen bed,84658.0,705.48,Booking.com
Hotel Verdigris,Phuket,9.4,Wonderful,60,9.7,Twin Room,2 twin beds,407481.0,3395.68,Booking.com
Combo Beach Hotel Samui,"Chaweng City Center , Chaweng",7.7,Good,689,8.2,Deluxe Double Room,1 full bed,132495.0,1104.12,Booking.com
Spacious apartment with Ocean view in Panwa,Phuket,9.1,Wonderful,8,9.4,Two-Bedroom Apartment,"3 beds (2 twins, 1 king)",173845.0,1448.71,Booking.com
Explorar Koh Samui - Adults Only Resort and Spa,Mae Nam,9.1,Wonderful,198,9.5,Deluxe Double or Twin Room with Balcony,1 king bed,384935.0,3207.79,Booking.com
Waterfront Suites Phuket by Centara,Karon Beach,8.5,Very Good,118,8.6,One-Bedroom Suite with Sea View,"3 beds (2 twins, 1 sofa bed)",202186.0,1684.88,Booking.com
Art Mai Gallery Nimman Hotel Chiang Mai - SHA Plus,"Nimmanhaemin, Chiang Mai",8.3,Very Good,357,8.8,Premier Art Room,1 double or 2 twins,199880.0,1665.67,Booking.com
The Leaf Oceanside by Katathani - SHA Extra Plus,"Nang Thong Beach, Khao Lak",8.6,Excellent,372,8.9,Cottage Double or Twin Room,1 double or 2 twins,101895.0,849.12,Booking.com
Twin Lotus Resort and Spa - SHA Plus - Adult Only Hotel,"Klong Dao Beach, Ko Lanta",8.5,Very Good,348,9.0,Villa with Garden View,1 king bed,253604.0,2113.37,Booking.com
Siam Subway Hostel and Café,"Bangkok Old Town, Bangkok",9.4,Wonderful,76,9.5,Deluxe King Room with Shared Bathroom,1 queen bed,98660.0,822.17,Booking.com
TheView Chaengwattana14 ????????????????14,"Don Muang, Bangkok",8.6,Excellent,118,9.0,One-Bedroom Apartment,1 queen bed,66254.0,552.12,Booking.com
The Blanket Hotel Phuket Town - SHA Plus,Phuket,8.0,Very Good,522,8.6,Deluxe King or Twin Room,2 twin beds,126738.0,1056.15,Booking.com
The Siamese Hotel,North Pattaya,8.7,Excellent,394,8.9,Deluxe Double Room,1 king bed,144177.0,1201.47,Booking.com
Paradise Resort Phi Phi-SHA Plus,"Long Beach, Phi Phi Islands",7.9,Good,448,,Thai Modern Apartment,1 full bed,168207.0,1401.72,Booking.com
S3 Siam Bangkok Hotel,"Pathumwan, Bangkok",8.2,Very Good,269,8.7,Superior King Room,1 king bed,194085.0,1617.38,Booking.com
Haad Salad Villa,Salad Beach,8.6,Excellent,217,8.5,Standard Bungalow,1 queen bed,115219.0,960.16,Booking.com
Maven Stylish Hotel Hua Hin,Hua Hin,8.6,Excellent,142,9.3,Superior Double or Twin Room with City View,2 twin beds,167829.0,1398.58,Booking.com
Sawasdee House,"Khaosan, Bangkok",7.7,Good,335,,Superior Double Room with Window,1 queen bed,90573.0,754.78,Booking.com
Casa De Mar - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,781,8.4,Superior Double or Twin Room,1 king bed,265286.0,2210.72,Booking.com
