hotel_name,price_bdt,num_reviews,comment,price_eur,source
SALA Samui Choengmon Beach Resort,45854.0,2820,"The breakfast is excellent, the pools are really nice, the beach is beautiful, the staff attentive, the gym well equipped,",382.12,TripAdvisor
"Napasai, A Belmond Hotel, Koh Samui",29666.0,1191,"We a had perfect view at the beach,",247.22,TripAdvisor
Pimalai Resort and Spa,31667.0,3287,It has everything,263.89,TripAdvisor
Avani+ Mai Khao Phuket Suites & Villas,23887.0,144,the villa was very,199.06,TripAdvisor
Sheraton Samui Resort,18816.0,1006,Me & my wife stayed there for 3 Nights and we really enjoyed every bit of our stay though our Room was smaller ( by,156.8,TripAdvisor
SALA Samui Chaweng Beach Resort,26294.0,968,"If you prefer private room with nice view go with the Oceanfront Balcony, but",219.12,TripAdvisor
"Phuket Marriott Resort and Spa, Nai Yang Beach",17533.0,1474,"The hotel is near the airport The service was Excellent , Patty and the team were very",146.11,TripAdvisor
Centara Reserve Samui,52090.0,257,Good food,434.08,TripAdvisor
W Koh Samui,64543.0,1606,"The room are very beautiful and comfortable, they have big pool with outdoor",537.86,TripAdvisor
Melia Koh Samui,18430.0,884,"... so fantastic and we enjoy our stayed at Melia Koh Samui so much... Our room ""Boat Suite"" was so spectacular with unique design transformed the old authentic thai boat",153.58,TripAdvisor
JW Marriott Khao Lak Resort & Spa,19091.0,4878,"Grateful for the staff for putting together the wonderful welcome amenities,",159.09,TripAdvisor
"Holiday Ao Nang Beach Resort, Krabi",12060.0,3050,I stay at holiday ao nang resert second time i feelinging home staff very friendly and,100.5,TripAdvisor
Sofitel Krabi Phokeethra Golf & Spa Resort,14609.0,3736,... one of the greatest moments of our little girls life meeting and giving Elsa,121.74,TripAdvisor
"Phulay Bay, a Ritz-Carlton Reserve",106541.0,1210,"Hong Island, amazing view from the pool, good food, and amazing service from all the staffs with always big smile!",887.84,TripAdvisor
Outrigger Khao Lak Beach Resort,6854.0,1448,"This hotel is fabulous, staff were all super",57.12,TripAdvisor
